loss,acc,precision,recall,val_loss,val_acc,val_precision,val_recall,lr
0.27884820103645325,0.8760417103767395,0.9124760627746582,0.8313510417938232,0.21801313757896423,0.89729243516922,0.9564120173454285,0.832938015460968,2.7145123e-05
0.20448604226112366,0.912744402885437,0.9410441517829895,0.8803050518035889,0.18299569189548492,0.9183061122894287,0.9613913297653198,0.8719407320022583,2.4561923e-05
0.17700466513633728,0.9254340529441833,0.9498757123947144,0.897967517375946,0.17222484946250916,0.9242831468582153,0.9648075103759766,0.8809908032417297,2.2224547e-05
0.15783017873764038,0.9338628053665161,0.9560773968696594,0.9092432856559753,0.19295573234558105,0.9137921333312988,0.9784982800483704,0.8465151190757751,2.0109603e-05
0.1416129320859909,0.9409451484680176,0.961133599281311,0.9188193082809448,0.1817445605993271,0.9208962321281433,0.9773751497268677,0.86204993724823,1.819592e-05
0.12697243690490723,0.9473295211791992,0.9655576348304749,0.927543580532074,0.17100465297698975,0.9248051643371582,0.978473424911499,0.8690161108970642,1.646435e-05
0.11344246566295624,0.9527153968811035,0.9695714116096497,0.9345800280570984,0.15349337458610535,0.9385921359062195,0.9591169357299805,0.9164847731590271,1.489756e-05
0.10017556697130203,0.9586054682731628,0.9734576940536499,0.9427575469017029,0.1562853455543518,0.9399070143699646,0.9503360986709595,0.928570032119751,1.3479869e-05
0.08873807638883591,0.9635899662971497,0.9769228100776672,0.9494690895080566,0.19330020248889923,0.9253350496292114,0.9755523204803467,0.8728287220001221,1.219709e-05
0.07990901172161102,0.9674890041351318,0.9795075058937073,0.9548296332359314,0.16453537344932556,0.9389104843139648,0.9586896896362305,0.9175938367843628,1.10363835e-05
